Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chineseimp
STR_TERJESKILL_FISH_STRAIGHTARMS,Skillful Hands,Skillful Hands,Šikovné ruce,handwerkliche Fähigkeiten,Умелые руки,Zręczne ręce,Ügyes kezek,Mani,Manos habilidosas,Mains Habiles,熟練的手,熟練した手,Mãos hábeis,熟练的手
STR_TERJESKILL_FISH_STRAIGHTARMS_DES,"You handle fishing rods, knives, and fishing gear carefully, reducing their wear and tear. Your gear lasts longer, allowing you to spend more time fishing without breakage.","You handle fishing rods, knives, and fishing gear carefully, reducing their wear and tear. Your gear lasts longer, allowing you to spend more time fishing without breakage.","Jemně zacházíte s pruty, noži a rybářským náčiním a snižujete jejich opotřebení. Vaše vybavení vydrží déle, což vám umožní trávit více času rybařením bez poruch.","Sie gehen mit Angelruten, Messern und Angelgeräten vorsichtig um und reduzieren deren Verschleiß. Ihre Ausrüstung hält länger und ermöglicht Ihnen, mehr Zeit ohne Bruch beim Angeln zu verbringen.","Вы аккуратно обращаетесь с удочками, ножами и рыболовными снастями, уменьшая их износ. Ваше снаряжение служит дольше, позволяя вам больше времени проводить на рыбалке без поломок.","Ostrożnie obchodzisz się z wędkami, nożami i sprzętem wędkarskim, zmniejszając ich zużycie. Twój sprzęt wytrzymuje dłużej, pozwalając ci spędzać więcej czasu na łowieniu ryb bez awarii.","Óvatosan kezeli a horgászbotokat, késeket és halászfelszereléseket, csökkentve azok kopását. A felszerelés hosszabb ideig tart,így több időt tölthet a halászat nélkül.","Maneggi delicatamente canne da pesca, coltelli e attrezzi da pesca, riducendone l'usura. La tua attrezzatura dura più a lungo, permettendoti di trascorrere più tempo a pescare senza rompersi.","Maneja con cuidado las cañas de pescar, los cuchillos y los aparejos de Pesca, reduciendo su desgaste. Su equipo dura más tiempo, lo que le permite pasar más tiempo pescando sin romperse.","Vous manipulez soigneusement les Cannes à pêche, les couteaux et les engins de pêche, réduisant ainsi leur usure. Votre équipement dure plus longtemps, vous permettant de passer plus de temps à pêcher sans rupture.",您小心地處理釣竿、刀具和釣魚裝備，減少它們的磨損。您的裝備使用壽命更長，讓您能夠花更多時間釣魚而不會損壞。,釣り竿、ナイフ、漁具は慎重に扱い、摩耗や破損を減らします。 あなたのギアは長持ちし、ダメージを与えることなくより多くの時間を釣りに費やすことができます。,"Você manuseia cuidadosamente as varas de pesca, facas e equipamentos de pesca, reduzindo seu desgaste. Seu equipamento dura mais tempo, permitindo que você passe mais tempo pescando sem quebrar.",您小心地處理釣竿、刀具和釣魚裝備，減少它們的磨損。您的裝備使用壽命更長，讓您能夠花更多時間釣魚而不會損壞。
STR_TERJESKILL_FISH_MASTERTRAPS,Nets Fishing,Nets Fishing,Síťový rybolov,Netze angeln,Ловля сетями,Połowy sieciowe,Halászhálók,Reti da pesca,Pesca con redes,Pêche aux Filets,漁網捕魚,ネット釣り,Redes de pesca,渔网捕鱼
STR_TERJESKILL_FISH_MASTERTRAPS_DES,"Your fishing trap installation skills have improved. Traps become more effective, increasing your chances of a rich catch.","Your fishing trap installation skills have improved. Traps become more effective, increasing your chances of a rich catch.",Vaše dovednosti v instalaci rybářských pastí se zlepšily. Pasti se stávají účinnějšími a zvyšují vaše šance na bohatý úlovek.,Ihre Fangfangfangfähigkeiten haben sich verbessert. Fallen werden effektiver und erhöhen Ihre Chancen auf einen reichen Fang.,"Ваши навыки установки рыболовных ловушек улучшились. Ловушки становятся более эффективными, увеличивая ваши шансы на богатый улов.","Twoje umiejętności zastawiania pułapek wędkarskich uległy poprawie. Pułapki stają się bardziej skuteczne, zwiększając twoje szanse na dobry połów.","A halászati csapda telepítési készségei javultak. A csapdák hatékonyabbá válnak, növelve a gazdag fogás esélyét.","Le tue abilità di impostazione delle trappole da pesca sono migliorate. Le trappole diventano più efficaci, aumentando le possibilità di una cattura ricca.","Sus habilidades de instalación de trampas de Pesca han mejorado. Las trampas se vuelven más efectivas, aumentando sus posibilidades de una captura rica.","Vos compétences en installation de pièges de pêche se sont améliorées. Les pièges deviennent plus efficaces, augmentant vos chances d'une prise abondante.",您的釣魚陷阱安裝技能已經提升。陷阱變得更加有效，增加了您收穫豐厚的機會。,あなたの釣りトラップのインストールスキルが向上しました。 トラップはより効果的になり、豊かなキャッチの可能性が高まります。,"Suas habilidades de instalação de armadilhas de pesca melhoraram. As armadilhas se tornam mais eficazes, aumentando suas chances de uma captura rica.",您的釣魚陷阱安裝技能已經提升。陷阱變得更加有效，增加了您收穫豐厚的機會。
STR_TERJESKILL_FISH_SKILLEDFISHERMAN,Clever Fisherman,Clever Fisherman,Šikovný rybář,Geschickter Fischer,Ловкий рыбак,Zręczny rybak,Egy okos halász,Pescatore agile,Pescador hábil,Pêcheur Astucieux,聰明的漁夫,賢い漁師,Pescador esperto,聪明的渔夫
STR_TERJESKILL_FISH_SKILLEDFISHERMAN_DES,"The chance of biting is increased, which allows you to pull out the catch faster and more often.","The chance of biting is increased, which allows you to pull out the catch faster and more often.","Šance na poklepání je větší, což vám umožní rychleji a častěji vytahovat úlovek.","Die Beißchance ist erhöht, sodass Sie den Fang schneller und häufiger herausziehen können.","Шанс поклёвки увеличен, что позволяет вам быстрее и чаще вытаскивать улов.","Szansa na branie jest zwiększona, co pozwala na szybsze i częstsze wyciąganie połowu.","A harapás esélye megnő, ami lehetővé teszi, hogy gyorsabban és gyakrabban húzza ki a fogást.","La possibilità di mordere è aumentata, permettendoti di estrarre il pescato più velocemente e più spesso.","Las posibilidades de picoteo aumentan, lo que le permite sacar la captura más rápido y más a menudo.","La chance de mordre est augmentée, ce qui vous permet de remonter la prise plus rapidement et plus souvent.",咬鉤的機會增加了，這使您可以更快、更頻繁地釣到魚。,噛む可能性が高くなり、キャッチをより速く、より頻繁に引き出すことができます。,"A chance de morder é aumentada, o que permite que você retire a captura com mais rapidez e frequência.",咬鉤的機會增加了，這使您可以更快、更頻繁地釣到魚。
STR_TERJESKILL_FISH_FISHERMANLUCK,Lucky Fisherman,Lucky Fisherman,Šťastný rybář,Glücklicher Fischer,Удачливый рыбак,Szczęśliwy rybak,Szerencsés Halász,Pescatore fortunato,Pescador afortunado,Pêcheur Chanceux,幸運漁夫,ラッキーフィッシャーマン,Pescador sortudo,幸运渔夫
STR_TERJESKILL_FISH_FISHERMANLUCK_DES,"Your fishing skills allow you to hook real trophies more often. The chances of catching a big fish are significantly increased, making each of your catches worthy of praise.","Your fishing skills allow you to hook real trophies more often. The chances of catching a big fish are significantly increased, making each of your catches worthy of praise.","Vaše rybářské dovednosti vám umožňují častěji tahat skutečné trofeje na háček. Šance na ulovení velké ryby jsou výrazně zvýšeny, takže každý váš úlovek je chvályhodný.","Ihre Angelfähigkeiten ermöglichen es Ihnen, echte Trophäen häufiger an den Haken zu ziehen. Die Chancen, große Fische zu fangen, sind erheblich erhöht und machen jeden Ihrer Fische lobenswert.","Ваши навыки в рыбалке позволяют вам чаще вытягивать на крючок настоящие трофеи. Шансы поймать крупную рыбу значительно увеличены, делая каждый ваш улов достойным похвалы.","Twoje umiejętności wędkarskie pozwolą ci częściej łowić prawdziwe trofea. Szanse na złowienie dużej ryby są znacznie zwiększone, dzięki czemu każdy połów zasługuje na pochwałę.","A halászati készségek lehetővé teszik, hogy gyakrabban kössön valódi trófeákat. Jelentősen megnő a nagy halak fogásának esélye, így minden fogása dicséretre méltó.","Le tue abilità di pesca ti consentono di agganciare trofei reali più spesso. Le possibilità di catturare pesci di grandi dimensioni sono notevolmente aumentate, rendendo ogni cattura degna di lode.","Tus habilidades de Pesca te permiten enganchar trofeos reales con más frecuencia. Las posibilidades de atrapar peces grandes aumentan considerablemente, lo que hace que cada captura sea digna de elogio.","Vos compétences de pêche vous permettent d'attraper plus souvent de vrais trophées. Les chances de capturer un gros poisson sont significativement augmentées, rendant chacune de vos prises digne d'éloges.",你的釣魚技巧讓你更常能夠釣到真正的獎盃魚。捕獲大魚的機會顯著增加，使得你每一次的收穫都值得讚美。,あなたの釣りのスキルを使用すると、より頻繁に本物のトロフィーをフックすることができます。 大きな魚を捕まえる可能性が大幅に高まり、それぞれの漁獲量が賞賛に値するようになります。,"Suas habilidades de pesca permitem que você puxe troféus reais com mais frequência. As chances de pegar um peixe grande são significativamente aumentadas, tornando cada uma de suas capturas digna de louvor.",你的釣魚技巧讓你更常能夠釣到真正的獎盃魚。捕獲大魚的機會顯著增加，使得你每一次的收穫都值得讚美。
STR_TERJESKILL_FISH_TACKLEREPAIR,Repairman,Repairman,Oprava vybavení,Reparatur von Ausrüstung,Ремонт снастей,Naprawa sprzętu,Tackle javítás,Riparazione dell'attrezzatura,Reparación de aparejos,Réparateur,修理工,タックル修理,Reparação de equipamento,修理工
STR_TERJESKILL_FISH_TACKLEREPAIR_DES,You can easily repair damaged gear. Your knowledge and experience allow you to repair equipment quickly and efficiently.,You can easily repair damaged gear. Your knowledge and experience allow you to repair equipment quickly and efficiently.,Snadno opravíte poškozené vybavení. Vaše znalosti a zkušenosti vám umožní rychle a efektivně opravit zařízení.,Sie können beschädigte Geräte leicht reparieren. Ihr Wissen und Ihre Erfahrung ermöglichen eine schnelle und effiziente Reparatur von Geräten.,Вы с лёгкостью восстанавливаете повреждённые снасти. Ваши знания и опыт позволяют быстро и эффективно чинить оборудование.,Możesz z łatwością naprawić uszkodzony sprzęt. Twoja wiedza i doświadczenie pozwalają na szybką i skuteczną naprawę sprzętu.,Könnyen megjavíthatja a sérült felszerelést. Tudása és tapasztalata lehetővé teszi a berendezések gyors és hatékony javítását.,Ripari facilmente l'attrezzatura danneggiata. La tua conoscenza ed esperienza ti consente di riparare l'attrezzatura in modo rapido ed efficiente.,Usted puede reparar fácilmente los trastos dañados. Sus conocimientos y experiencia le permiten reparar equipos de manera rápida y eficiente.,Vous pouvez facilement réparer le matériel endommagé. Vos connaissances et votre expérience vous permettent de réparer l'équipement rapidement et efficacement.,您可以輕鬆修復受損的裝備。您的知識和經驗使您能夠快速而有效地修理裝備。,損傷したギアを簡単に修復できます。 あなたの知識および経験は装置を迅速かつ効率的に修理することを可能にする。,Você pode facilmente reparar equipamentos danificados. O seu conhecimento e experiência permitem-lhe reparar o seu equipamento de forma rápida e eficiente.,您可以輕鬆修復受損的裝備。您的知識和經驗使您能夠快速而有效地修理裝備。
STR_TERJESKILL_FISH_RELIABLEGEAR,Reliable Hooks,Reliable Hooks,Spolehlivé nářadí,Zuverlässige Tackles,Надежные снасти,Niezawodny sprzęt,Megbízható megoldások,Placcaggi affidabili,Tacleadas fiables,Hameçons Fiables,可靠的鉤子,信頼性の高いタックル,Tackles fiáveis,可靠的鉤子
STR_TERJESKILL_FISH_RELIABLEGEAR_DES,"Your skills allow you to reduce the chance of losing hooks or bait when fishing. You know exactly how to handle the rod and tackle, minimizing the risk of loss.","Your skills allow you to reduce the chance of losing hooks or bait when fishing. You know exactly how to handle the rod and tackle, minimizing the risk of loss.","Vaše dovednosti vám umožní snížit pravděpodobnost ztráty náčiní nebo návnady při rybolovu. Víte přesně, jak zacházet s tyčí a řešit, minimalizovat riziko ztráty.","Ihre Fähigkeiten ermöglichen es Ihnen, die Wahrscheinlichkeit zu verringern, beim Angeln Angelgerät oder Köder zu verlieren. Sie wissen genau, wie Sie mit der Rute und dem Gerät umgehen müssen, um das Verlustrisiko zu minimieren.","Ваши навыки позволяют снизить вероятность потери снасти или наживки во время рыбалки. Вы точно знаете, как обращаться с удилищем и снастью, сводя риск потери к минимуму.","Twoje umiejętności zmniejszają prawdopodobieństwo utraty sprzętu lub przynęty podczas wędkowania. Wiesz dokładnie, jak obchodzić się z wędką i sprzętem, minimalizując ryzyko ich utraty.","Készségei lehetővé teszik, hogy csökkentse annak esélyét, hogy horgászás közben elveszítse a felszerelést vagy a csalit. Pontosan tudja, hogyan kell kezelni a rudat és kezelni, minimalizálva a veszteség kockázatát.","Le tue abilità ti consentono di ridurre la possibilità di perdere placcaggio o esca durante la pesca. Sai esattamente come gestire l'asta e affrontare, riducendo al minimo il rischio di perdita.","Tus habilidades te permiten reducir la posibilidad de perder aparejos o cebo al pescar. Sabes exactamente cómo manejar la caña y el aparejo, minimizando el riesgo de pérdida.","Vos compétences vous permettent de réduire la chance de perdre des hameçons ou des appâts en pêchant. Vous savez exactement comment manipuler la canne et le matériel, minimisant le risque de perte.",您的技能使您能夠在釣魚時減少失去鉤子或餌料的機會。您知道如何正確操作釣竿和釣具，從而最小化損失的風險。,あなたのスキルはあなたが釣りをするときにタックルや餌を失う可能性を減らすことを可能にします。 あなたはロッドとタックルを扱う方法を正確に知っていて、損失のリスクを最小限に抑えます。,"Suas habilidades permitem reduzir a chance de perder equipamento ou isca ao pescar. Você sabe exatamente como manusear a haste e o equipamento, minimizando o risco de perda.",您的技能使您能夠在釣魚時減少失去鉤子或餌料的機會。您知道如何正確操作釣竿和釣具，從而最小化損失的風險。
STR_TERJESKILL_FISH_LUCKMAGNET,Four-Leaf Clover,Four-Leaf Clover,Magnet štěstí,Glücksmagnet,Магнит удачи,Magnes szczęścia,Sok Szerencsét Mágnes,Magnete di buona fortuna,Imán de la suerte,Trèfle à Quatre Feuilles,好運磁鐵,開運マグネット,Ímã da sorte,好运磁铁
STR_TERJESKILL_FISH_LUCKMAGNET_DES,"Your are so lucky that your chances to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Your are so lucky that your chances to catch valuable items is significantly increased. Each cast can bring not only garbage, but also unexpected treasures.","Vaše vyhledávací dovednosti s magnetem jsou tak dokonalé, že šance na vylovení cenných předmětů je výrazně zvýšena. Každý hod může přinést nejen odpadky, ale i nečekané poklady.","Ihre Suchfähigkeiten mit einem Magneten sind so perfekt, dass die Chance, wertvolle Gegenstände zu fangen, erheblich erhöht ist. Jeder Wurf kann nicht nur Müll, sondern auch unerwartete Schätze bringen.","Ваши поисковые навыки с магнитом настолько совершенны, что шанс выловить ценные предметы значительно увеличен. Каждый заброс может принести не только мусор, но и неожиданные сокровища.","Masz tyle szczęścia, że twoje szanse na złapanie cennych przedmiotów znacznie wzrosły. Każdy rzut może przynieść nie tylko śmieci, ale także nieoczekiwane skarby.","A mágneses Keresési készségei annyira tökéletesek, hogy jelentősen megnő az esély az értékes tárgyak elkapására. Minden öntvény nemcsak szemetet, hanem váratlan kincseket is hozhat.","Le tue abilità di ricerca con il magnete sono così perfette che la possibilità di pescare oggetti di valore è notevolmente aumentata. Ogni lancio può portare non solo spazzatura, ma anche tesori inaspettati.","Sus habilidades de búsqueda con el imán son tan perfectas que la posibilidad de capturar objetos valiosos se incrementa considerablemente. Cada lanzamiento puede traer no solo basura, sino también tesoros inesperados.","Vous avez tellement de chance que vous trouvez des objets de valeur en pêchant. Chaque lancer peut rapporter non seulement des déchets, mais aussi des trésors inattendus.",你太幸運了，獲得貴重物品的機會大大增加。每次釣魚不只帶來垃圾，現在能帶來意想不到的寶藏。,磁石であなたの検索スキルは貴重なアイテムをキャッチする機会が大幅に増加するように完璧です。 各キャストはゴミだけでなく、予期しない宝物も持ってくることができます。,"Suas habilidades de busca com um ímã são tão perfeitas que a chance de pegar itens valiosos é significativamente aumentada. Cada jogo pode trazer não apenas lixo, mas também tesouros inesperados.",你太幸運了，獲得貴重物品的機會大大增加。每次釣魚不只帶來垃圾，現在能帶來意想不到的寶藏。
STR_TERJESKILL_FISH_REMROT,Cutting Rot,Cutting Rot,Řezání hniloby,Fäulnis ausschneiden,Вырезание гнили,Cięcie zgnilizny,A rothadás kivágása,Scolpire il marciume,Cortar la podredumbre,Découpe de la Pourriture,切割腐爛,腐敗を切り取る,Corte de podridão,切割腐烂
STR_TERJESKILL_FISH_REMROT_DES,Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.,Your fish cutting skills make it easy to remove rotten areas while keeping the meat as fit as possible. Even a damaged catch can be saved.,Vaše dovednosti v oblasti krájení ryb vám umožní snadno odstranit shnilé oblasti a zároveň udržet maso co nejpohodlnější. I poškozený úlovek se dá zachránit.,"Ihre Fähigkeiten beim Schneiden von Fischen ermöglichen es Ihnen, faule Bereiche leicht zu entfernen, während Sie das Fleisch so gut wie möglich halten. Selbst ein beschädigter Fang kann gerettet werden.","Ваши навыки разделки рыбы позволяют с легкостью удалять гнилые участки, сохраняя максимально пригодное мясо. Даже поврежденный улов можно спасти.","Twoje umiejętności cięcia ryb ułatwiają usuwanie zepsutych obszarów, zachowując najlepsze możliwe mięso. Możesz uratować nawet uszkodzone ryby.","Halvágási képességei megkönnyítik a rothadt területek eltávolítását, miközben a hús a lehető legmegfelelőbb marad. Még egy sérült fogás is menthető.","Le tue abilità di macellazione del pesce ti consentono di rimuovere facilmente le aree marce, mantenendo la carne più adatta possibile. Anche una cattura danneggiata può essere salvata.","Sus habilidades de corte de pescado le permiten eliminar las áreas podridas con facilidad, manteniendo la carne lo más adecuada posible. Incluso la captura dañada se puede salvar.",Vos compétences en découpe de poisson facilitent le retrait des zones pourries tout en conservant les filets aussi sains que possible. Même une prise endommagée peut être sauvée.,您的切魚技巧可以讓您輕鬆去除腐爛的區域，同時盡可能保持魚肉的完整。即使受損的漁獲也可以挽救。,あなたの魚の切断スキルは、肉をできるだけフィットさせながら腐った部分を簡単に取り除くことを可能にします。 損傷したキャッチでさえも救うことができます。,"Suas habilidades de corte de peixe permitem que você remova facilmente áreas podres, mantendo a carne mais adequada. Mesmo uma captura danificada pode ser salva.",您的切魚技巧可以讓您輕鬆去除腐爛的區域，同時盡可能保持魚肉的完整。即使受損的漁獲也可以挽救。
STR_TERJESKILL_FISH_WORMHUNTER,Worms Digger,Worms Digger,Lovec červů,Wurmjäger,Охотник на червей,Łowca robaków,A Worm Hunter,Cacciatore di vermi,Cazador de gusanos,Chasseur de Vers,蠕蟲獵人,ワームハンター,Caçador de vermes,蠕虫猎人
STR_TERJESKILL_FISH_WORMHUNTER_DES,Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.,Each of your digs brings in more worms than usual. Your experience and attentiveness allow you to find more worms in one dig.,Každé vykopání přináší více červů než obvykle. Vaše zkušenosti a ohleduplnost vám umožní najít více červů v jednom otvoru.,"Jedes Graben bringt mehr Würmer als gewöhnlich mit sich. Ihre Erfahrung und Sorgfalt ermöglicht es Ihnen, mehr Würmer in einem einzigen Graben zu finden.","Каждое ваше выкапывание приносит больше червей, чем обычно. Ваш опыт и внимательность позволяют находить больше червей за одну вскопку.",Każde wykopanie przynosi więcej robaków niż zwykle. Twoje doświadczenie i uwaga pozwalają znaleźć więcej robaków podczas każdego kopania.,"Mindegyik ásatása a szokásosnál több férget hoz be. Tapasztalata és figyelmessége lehetővé teszi, hogy több férget találjon egy ásásban.",Ogni scavo che fai porta più vermi del solito. La tua esperienza e attenzione ti consentono di trovare più vermi in un unico scavo.,Cada excavación trae más gusanos de lo normal. Su experiencia y atención le permiten encontrar más gusanos en una excavación.,Chacune de vos fouilles rapporte plus de vers que d'habitude. Votre expérience et votre attention vous permettent de trouver plus de vers.,每次挖掘都會帶來比平常更多的蠕蟲。您的經驗和細心使您能夠在一次挖掘中找到更多的蠕蟲。,あなたの掘り出し物のそれぞれは、通常よりも多くのワームをもたらします。 あなたの経験と注意力は、あなたが1つの発掘でより多くのワームを見つけることを可能にします。,Cada escavação traz mais vermes do que o habitual. Sua experiência e atenção permitem que você encontre mais vermes em uma escavação.,每次挖掘都會帶來比平常更多的蠕蟲。您的經驗和細心使您能夠在一次挖掘中找到更多的蠕蟲。
STR_TERJESKILL_FISH_CRAFTSMAN,Craftsman,Craftsman,Mistr kutil,Meister der selbstgemachte,Мастер самоделок,Mistrz domowej roboty,DIY kézműves,Maestro fai-da-te,Maestro de bricolaje,Artisan,DIY工匠,DIY職人,Mestre caseiro,工匠
STR_TERJESKILL_FISH_CRAFTSMAN_DES,"You have learned how to create homemade fishing rods and tackle from improvised tools. With each new perk level, the quality of the items you create improves.","You have learned how to create homemade fishing rods and tackle from improvised tools. With each new perk level, the quality of the items you create improves.",Naučili jste se vyrábět domácí pruty a náčiní z domácích prostředků. S každou novou úrovní perku se kvalita vytvořených položek zlepšuje.,"Sie haben gelernt, selbstgemachte Angelruten und Tackle aus improvisierten Mitteln zu erstellen. Mit jeder neuen Stufe des Perks verbessert sich die Qualität der erstellten Gegenstände.",Вы научились создавать самодельные удочки и снасти из подручных средств. С каждым новым уровнем перка качество создаваемых предметов улучшается.,Nauczyłeś się tworzyć domowe wędki i sprzęt wędkarski z improwizowanych narzędzi. Z każdym nowym poziomem atutu jakość tworzonych przez ciebie przedmiotów rośnie.,"Megtanultad, hogyan készíthetsz házi horgászbotokat és kezelheted a rögtönzött eszközöket. Minden új perk szinttel javul a létrehozott elemek minősége.","Hai imparato a creare canne da pesca e attrezzatura fatte in casa da mezzi improvvisati. Con ogni nuovo livello di vantaggio, la qualità degli oggetti creati migliora.","Has aprendido a crear cañas de pescar caseras y aparejos a partir de herramientas improvisadas. Con cada nuevo nivel de beneficio, la calidad de los artículos creados mejora.","Vous avez appris à créer des Cannes à pêche et des engins improvisés. Avec chaque nouveau niveau d'avantage, la qualité des objets créés s'améliore.",您已經學會如何使用簡易工具製作自製釣竿和釣具。隨著每個新等級的提高，您所創造的物品的品質都會提高。,あなたは自家製の釣り竿を作り、即興の道具から取り組む方法を学びました。 新しい特典レベルごとに、作成するアイテムの品質が向上します。,"Você aprendeu a criar varas de pesca caseiras e equipamentos a partir de meios improvisados. A cada novo nível de vantagem, a qualidade dos itens criados melhora.",您已經學會如何使用簡易工具製作自製釣竿和釣具。隨著每個新等級的提高，您所創造的物品的品質都會提高。
STR_TERJESKILL_FISH_TENSIONCONTROL,Tension Control,Tension Control,Kontrola napětí,Kontrolle der Spannung,Контроль натяжения,Kontrola napięcia,Feszültségszabályozás,Controllo della tensione,Control de tensión,Contrôle de la Tension,張力控制,張力制御,Controle de tensão,张力控制
STR_TERJESKILL_FISH_TENSIONCONTROL_DES,"You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","You perfectly control the tension of the fishing line, reducing the risk of its rupture. The chances of losing fish while fishing are significantly reduced, allowing you to pull out prey more often.","Dokonale ovládáte napětí vlasce, čímž snížíte riziko prasknutí vlasce. Šance, že ztratíte rybu při vyklízení, se výrazně snižují, což vám umožní vytáhnout kořist častěji.","Sie steuern die Spannung der Angelschnur perfekt und reduzieren das Risiko, dass sie reißt. Die Chancen, Fische zu verlieren, während Sie gezüchtet werden, sind stark reduziert, sodass Sie die Beute häufiger herausziehen können.","Вы идеально контролируете натяжение лески, снижая риск её разрыва. Шансы потерять рыбу при вываживании значительно уменьшаются, позволяя вам чаще вытаскивать добычу.","Masz doskonałą kontrolę nad naprężeniem linki, zmniejszając ryzyko jej zerwania. Szanse na utratę ryby podczas łowienia są znacznie zmniejszone, dzięki czemu możesz częściej wyciągać ryby.","Ön tökéletesen ellenőrzi a horgászzsinór feszültségét, csökkentve annak szakadásának kockázatát. Jelentősen csökken a halak elvesztésének esélye a halászat során, ami lehetővé teszi, hogy gyakrabban húzza ki a zsákmányt.","Controlli perfettamente la tensione della lenza, riducendo il rischio di strapparla. Le possibilità di perdere il pesce durante l'allevamento sono notevolmente ridotte, permettendoti di estrarre la preda più spesso.","Usted controla perfectamente la tensión de la línea de Pesca, reduciendo el riesgo de que se rompa. Las posibilidades de perder peces al salir se reducen significativamente, lo que le permite sacar presas con más frecuencia.","Vous contrôlez parfaitement la tension de la ligne, réduisant le risque de rupture. Les chances de perdre du poisson pendant la pêche sont significativement réduites, vous permettant de remonter plus souvent des prises.",您可以完美地控制釣魚線的張力，從而降低其斷裂的風險。釣魚時丟失魚的可能性大大降低，使您能夠更頻繁地捕獲獵物。,あなたは釣り糸の張力を完全に制御し、その破裂の危険性を減らします。 釣り中に魚を失う可能性が大幅に減少し、獲物をより頻繁に引き出すことができます。,"Você controla perfeitamente a tensão da linha de pesca, reduzindo o risco de ruptura. As chances de perder o peixe durante a eclosão são significativamente reduzidas, permitindo que você puxe a presa com mais frequência.",您可以完美地控制釣魚線的張力，從而降低其斷裂的風險。釣魚時丟失魚的可能性大大降低，使您能夠更頻繁地捕獲獵物。
STR_TERJESKILL_FISHING_NAME,FISHING,FISHING,RYBOLOV,ANGELN,РЫБАЛКА,WĘDKARSTWO,HALÁSZAT,PESCA,PESCA,PÊCHE,釣魚,釣り,PESCA,釣魚
STR_TERJESKILL_HUNTING_MOD0,Increases the number of meat cuts obtained from skinning by,Increases the number of meat cuts obtained from skinning by,Zvyšuje počet kusů masa přijatých při krájení jatečně upravených zvířat s každou úrovní na,"Erhöht die Anzahl der Fleischstücke, die beim Schneiden von Tierkadaver mit jedem Level erhalten werden",Увеличивает количество кусков мяса получаемых при разделке туш животных с каждым уровнем на,Zwiększa liczbę kawałków mięsa uzyskanych podczas rozbioru tusz zwierzęcych o każdy poziom o,Növeli az állati tetemek minden szinten történő vágásakor kapott húsdarabok számát,Aumenta il numero di pezzi di carne ottenuti tagliando le carcasse di animali con ogni livello,Aumenta el número de trozos de carne obtenidos al cortar cadáveres de animales con cada nivel en,Augmente le nombre de morceaux de viande obtenus en dépeçant de,增加剝皮後獲得的肉塊數量,各レベルで動物の死骸を切断するときに得られる肉片の数を増加させます,Aumenta o número de pedaços de carne obtidos ao cortar carcaças de animais a cada nível,增加剝皮後獲得的肉塊數量
STR_TERJESKILL_SURVIVAL_MOD2,Reduces the time needed to start a fire by,Reduces the time needed to start a fire by,Zkraťte čas potřebný pro rozdělání ohně na,"Verkürzt die Zeit, die benötigt wird, um ein Lagerfeuer zu züchten",Скоращает время необходимое для разведения костра на,Skraca czas potrzebny do rozpalenia ognia o,Csökkenti a tábortűz felépítéséhez szükséges időt,Aumenta il tempo necessario per accendere un fuoco,Reduce el tiempo necesario para encender el fuego,Réduit le temps nécessaire pour allumer un feu de,減少起火時間,キャンプファイヤーを構築するために必要な時間を短縮します,O tempo necessário para fazer uma fogueira,減少起火時間
STR_TERJESKILLS_CRAFT_CUT_ROTTEN,Cut out the rot,Cut out the rot,Řez hniloby,Fäulnis ausschneiden,Вырезать гниль,Wytnij zgniliznę,Vágja ki a rothadást,Tagliare il marciume,Cortar la podredumbre,Retirer la pourriture,切掉腐爛的東西,腐敗を切り取る,Corte a podridão,切掉腐烂的东西
