"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_TERJEMED_PIS_BD","You see a dirty bandage on a badly bleeding wound.","You see a dirty bandage on a badly bleeding wound.","Na silně krvácející ráně vidíte špinavý obvaz.","Sie sehen einen schmutzigen Verband an einer stark blutenden Wunde.","Вы видите грязный бинт на сильно кровоточащей ране.","Widzisz brudny bandaż na mocno krwawiącej ranie.","Piszkos kötést láthat egy rosszul vérző sebben.","Vedi una benda sporca su una ferita che sanguina gravemente.","Ves un vendaje sucio en una herida muy sangrante.","Vous voyez un bandage sale sur une plaie qui saigne beaucoup.","你看到在重度出血的傷口上貼著髒的繃帶。","あなたはひどく出血している傷に汚れた包帯を見ることができます。","Estão a ver uma ligadura suja numa ferida que está a sangrar muito.","你看到一个严重出血的伤口上有一个肮脏的绷带。",
"STR_TERJEMED_PIS_SBC","You can see a clean bandage on the surgical suture.","You can see a clean bandage on the surgical suture.","Na chirurgickém švu vidíte čistý obvaz.","Sie sehen eine saubere Bandage an der chirurgischen Naht.","Вы видите чистый бинт на хирургическом шве.","Widzisz czysty bandaż na szwie chirurgicznym.","A műtéti varraton tiszta kötést láthat.","Vedi una benda pulita sulla sutura chirurgica.","Ves un vendaje limpio en la sutura quirúrgica.","Vous voyez un bandage propre sur la suture chirurgicale.","你可以看到手術縫合處上貼著乾淨的繃帶。","あなたは外科用縫合糸にきれいな包帯を見ることができます。","Estão a ver uma ligadura limpa na sutura cirúrgica.","你可以看到手术缝合线上有一个干净的绷带.",
"STR_TERJEMED_PIS_SBD","You can see the dirty bloody bandage on the surgical suture.","You can see the dirty bloody bandage on the surgical suture.","Na chirurgickém švu vidíte špinavý krvavý obvaz.","Sie sehen einen schmutzigen blutigen Verband an der chirurgischen Naht.","Вы видите грязный кровавый бинт на хирургическом шве.","Widzisz brudny, krwawy bandaż na szwie chirurgicznym.","Láthatjuk a piszkos véres kötést a sebészeti varraton.","Vedi una benda sporca e sanguinante sulla sutura chirurgica.","Ves un vendaje sucio y sangriento en la sutura quirúrgica.","Vous voyez un bandage sanglant sale sur la suture chirurgicale.","你可以看到手術縫合處上貼著髒的血跡繃帶。","あなたは外科用縫合糸に汚れた血まみれの包帯を見ることができます。","Estão a ver uma ligadura suja de sangue na sutura cirúrgica.","你可以看到手术缝合线上的脏血绷带。",
"STR_TERJEMED_PIS_SC","Do you see a clean surgical suture","Do you see a clean surgical suture","Vidíte čistý chirurgický šev","Sie sehen eine saubere chirurgische Naht","Вы видите чистый хирургический шов","Widzisz czysty szew chirurgiczny","Lát egy tiszta sebészeti varratot","Vedi una sutura chirurgica pulita","Ves una sutura quirúrgica limpia","Voyez-vous une suture chirurgicale propre","你看到乾淨的手術縫合處嗎？","あなたはきれいな外科用縫合糸を見ていますか","Estão a ver uma sutura cirúrgica limpa.","你看到干净的手术缝合线了吗？",
"STR_TERJEMED_PIS_SD","Do you see a dirty surgical suture","Do you see a dirty surgical suture","Vidíte špinavý chirurgický šev","Sie sehen eine schmutzige chirurgische Naht","Вы видите грязный хирургический шов","Widzisz brudny szew chirurgiczny","Látsz egy piszkos sebészeti varratot","Vedi una sutura chirurgica sporca","Ves una sutura quirúrgica sucia","Vous voyez une suture chirurgicale sale","你看到髒的手術縫合處嗎？","あなたは汚れた外科用縫合糸を見ますか","Você vê uma sutura cirúrgica suja","你看到脏的手术缝合线了吗？",
"STR_TERJEMED_PIS_HEM_CRIT","You see a lot of horrible bruises covering almost the entire body","You see a lot of horrible bruises covering almost the entire body","Vidíte spoustu děsivých hematomů, které pokrývají téměř celé tělo","Sie sehen viele schreckliche Hämatome, die fast den ganzen Körper bedecken","Вы видите множество ужастных гематом покрывающих практически все тело","Widzisz wiele przerażających krwiaków pokrywających prawie całe ciało","Sok szörnyű zúzódást lát, amely szinte az egész testet lefedi","Vedi molti ematomi terrificanti che coprono quasi tutto il corpo","Usted ve un montón de terribles hematomas que cubren casi todo el cuerpo","Vous voyez beaucoup d'hématomes terrifiants couvrant presque tout le corps","你看到身體幾乎全身被覆蓋著可怕的瘀傷。","あなたは、ほぼ全身をカバーする恐ろしい打撲傷の多くを参照してください","Você vê muitos hematomas assustadores cobrindo quase todo o corpo","你看到很多可怕的瘀伤几乎复盖了整个身体",
"STR_TERJEMED_PIS_HEM_BAD","You see a lot of bruises on the body","You see a lot of bruises on the body","Na těle vidíte spoustu hematomů","Sie sehen viele Hämatome am Körper","Вы видите множество гематом на теле","Widzisz wiele krwiaków na ciele","Sok zúzódást lát a testen","Vedi molti ematomi sul corpo","Ves muchos hematomas en el cuerpo","Vous voyez beaucoup d'hématomes sur le corps","你看到身體上有很多瘀傷。","あなたは体に多くの打撲傷を見ます","Você vê muitos hematomas no corpo","你看到身上有很多瘀伤",
"STR_TERJEMED_PIS_HEM_LOW","You see several bruises on the body","You see several bruises on the body","Na těle vidíte několik hematomů","Sie sehen ein paar Hämatome am Körper","Вы видите несколько гематом на теле","Widzisz kilka krwiaków na ciele","Több zúzódást lát a testen","Vedi diversi ematomi sul corpo","Ves varios hematomas en el cuerpo","Vous voyez plusieurs hématomes sur le corps","你看到身體上有幾個瘀傷。","あなたは体にいくつかの打撲傷を見ます","Você vê alguns hematomas no corpo","你看到身体上有几处瘀伤",
"STR_TERJEMED_PIS_STUB","You see deep and heavily bleeding wounds on the body","You see deep and heavily bleeding wounds on the body","Na těle vidíte hluboké silně krvácející tržné rány","Sie sehen tiefe, stark blutende Risswunden am Körper","Вы видите глубокие сильно кровоточащие рваные раны на теле","Widzisz Głębokie, mocno krwawiące rany na ciele","Mély, erősen vérző hasadásokat lát a testen","Vedi lacerazioni profonde e sanguinanti sul tuo corpo","Ves laceraciones profundas y sangrantes en el cuerpo","Vous voyez des lacérations profondes et saignantes sur le corps","你看到身體上有很深的、流血不止的傷口","あなたは体に深く出血している裂傷を見ます","Você vê lacerações profundas e sangrentas no corpo","你看到身体上有大量出血的伤口",
"STR_TERJEMED_PIS_BULLET","You can see the bullet wound, it seems the bullet is still inside.","You can see the bullet wound, it seems the bullet is still inside.","Vidíte ránu kulkou, zdá se, že kulka je stále uvnitř.","Sie sehen eine Wunde von einer Kugel, es scheint, dass die Kugel noch drin ist.","Вы видите рану от пули, кажется пуля все еще находится внутри.","Widzisz ranę od kuli, wygląda na to, że kula wciąż jest w środku.","Láthatják a golyó okozta sebet, úgy tűnik, a golyó még bent van.","Vedi la ferita del proiettile, sembra che il proiettile sia ancora dentro.","Ves la herida de la bala, parece que la bala todavía está dentro.","Vous voyez la blessure de la balle, il semble que la balle est toujours à l'intérieur.","你可以看到槍傷，看來子彈還在裡面。","あなたは弾丸の傷を見ることができます、それは弾丸がまだ中にあるようです。","Vemos a ferida de bala, parece que a bala ainda está lá dentro.","你可以看到子弹的伤口，看来子弹还在里面。",
"STR_TERJEMED_PIS_ZV","Zombie virus","Zombie virus","Zombie virus","Zombie-Virus","Зомби вирус","Wirus zombie","Zombi vírus","Virus zombie","Virus zombie","Virus zombie","殭屍病毒","ゾンビウイルス","Vírus zumbi","僵尸病毒",
"STR_TERJEMED_PIS_L1","Initial stage","Initial stage","Počáteční fáze","Anfangsstadium","Начальная стадия","Etap początkowy","A kezdeti szakasz","Fase iniziale","Preliminar","Stade initial","初始階段","初期段階","Estágio inicial","初始阶段",
"STR_TERJEMED_PIS_L2","Intermediate severe stage","Intermediate severe stage","Střední těžká fáze","Zwischenhohe Phase","Промежуточная тяжелая стадия","Pośredni ciężki etap","Közepes súlyos szakasz","Stadio intermedio grave","Etapa grave intermedia","Stade intermédiaire sévère","中度重度階段","中間重度期","Estágio intermediário pesado","中重度阶段",
"STR_TERJEMED_PIS_L3","Final critical stage","Final critical stage","Závěrečná kritická fáze","Letzte kritische Phase","Терминальная стадия","Ostatni etap krytyczny","Végső kritikus szakasz","Fase critica finale","Etapa crítica final","Phase critique finale","最後的關鍵階段","ファイナル-クリティカル-ステージ","Fase crítica Final","最后关键阶段",
"STR_TERJEMED_PIS_SEPSIS","Blood poisoning (sepsis)","Blood poisoning (sepsis)","Infekce krve (sepse)","Blutvergiftung (Sepsis)","Заражение крови (сепсис)","Zatrucie krwi (posocznica)","Vérmérgezés (szepszis)","Avvelenamento del sangue (sepsi)","Infección de la sangre (sepsis)","Infection du sang (septicémie)","血液中毒（敗血症）","血液中毒（敗血症）","Envenenamento do sangue (sepse)","血液中毒（败血症）",
"STR_TERJEMED_PIS_PAIN","Pain","Pain","Bolest","Schmerz","Боль","Ból","Fájdalom","Dolore","Dolor","Douleur","疼痛","痛み","Dor","疼痛",
"STR_TERJEMED_PIS_PAIN_L1","Light pain","Light pain","Mírná bolest","Leichte Schmerzen","Легкая боль","Łagodny ból","Enyhe fájdalom","Dolore lieve","Dolor leve","Douleur légère","輕微疼痛","わずかな痛み","Dor leve","轻微疼痛",
"STR_TERJEMED_PIS_PAIN_L2","Heavy pain","Heavy pain","Silná bolest","Starke Schmerzen","Сильная боль","Silny ból","Súlyos fájdalom","Doglia","Dolor vivo","Douleur intense","劇烈疼痛","激しい痛み","Dor intensa","剧烈疼痛",
"STR_TERJEMED_PIS_PAIN_L3","Unbearable pain","Unbearable pain","Nesnesitelná bolest","unerträglicher Schmerz","Невыносимая боль","Nieznośny ból","Elviselhetetlen fájdalom","Dolore insopportabile","Dolor insoportable","Douleur insupportable","難以忍受的疼痛","耐え難い痛み","Dor insuportável","难以忍受的疼痛",
"STR_TERJEMED_PIS_INFLUENZA","Influenza","Influenza","Chřipka","Influenza","Грипп","Grypa","Influenza","Influenzale","Influenza","Grippe","流感","インフルエンザ","Gripe","流感",
"STR_TERJEMED_PIS_INF_L1","A slight runny nose and fever.","A slight runny nose and fever.","Malá rýma a teplota.","Leichte laufende Nase und Temperatur.","Небольшой насморк и температура.","Mały katar i gorączka.","Enyhe orrfolyás és láz.","Un piccolo naso che cola e febbre.","Un poco de secreción nasal y fiebre.","Un petit nez qui coule et de la température.","輕微流鼻水和發燒。","わずかな鼻水と発熱。","Um pequeno resfriado e febre.","轻微流鼻涕和发烧。",
"STR_TERJEMED_PIS_INF_L2","Severe cough and high fever.","Severe cough and high fever.","Silný kašel a vysoká horečka.","Starker Husten und hohes Fieber.","Сильный кашель и высокая температура.","Silny kaszel i wysoka gorączka.","Súlyos köhögés és magas láz.","Tosse grave e febbre alta.","Tos fuerte y fiebre alta.","Forte toux et forte fièvre.","嚴重咳嗽和高燒。","激しい咳と高熱。","Tosse forte e febre alta.","严重咳嗽和高烧。",
"STR_TERJEMED_PIS_INF_L3","Pneumonia, life-threatening.","Pneumonia, life-threatening.","Zánět plic, ohrožení života.","Lungenentzündung, lebensbedrohlich.","Воспаление легких, угроза для жизни.","Zapalenie płuc, zagrożenie życia.","Tüdőgyulladás, életveszélyes.","Infiammazione polmonare, una minaccia per la vita.","Neumonía, una amenaza para la vida.","Pneumonie, menace pour la vie.","肺炎，危及生命。","肺炎、生命を脅かす。","Pneumonia, risco de vida.","肺炎，危及生命。",
"STR_TERJEMED_PIS_OVERDOSE","Overdose","Overdose","Předávkování","Überdosierung","Передозировка","Przedawkowanie","Túladagolás","Overdose","Sobredosis","Surdosage","過量服用","過剰摂取","Overdose","过量服用",
"STR_TERJEMED_PIS_OVERD_L1","Light overdose","Light overdose","Snadné předávkování","Leichte Überdosierung","Легкая передозировка","Łatwe przedawkowanie","Enyhe túladagolás","Overdose lieve","Sobredosis leve","Surdosage facile","輕度過量","軽度の過剰摂取","Sobredosagem leve","轻度过量",
"STR_TERJEMED_PIS_OVERD_L2","Heavy overdose","Heavy overdose","Silné předávkování","Schwere Überdosierung","Сильная передозировка","Poważne przedawkowanie","Súlyos túladagolás","Sovradosaggio grave","Sobredosis severa","Surdose sévère","嚴重過量","重度の過剰摂取","Overdose grave","严重过量",
"STR_TERJEMED_PIS_OVERD_L3","Critical overdose level","Critical overdose level","Kritická úroveň předávkování","Kritische Überdosierungsrate","Критический уровень передозировки","Krytyczny poziom przedawkowania","Kritikus túladagolási szint","Livello critico di sovradosaggio","Nivel crítico de sobredosis","Niveau critique de surdosage","危及生命的過量程度","過剰摂取の重大なレベル","Nível crítico de superdose","过量的临界水平",
"STR_TERJEMED_PIS_POISON","Food poisoning","Food poisoning","Otrava jídlem","Lebensmittelvergiftung","Пищевое отравление","Zatrucie pokarmowe","Ételmérgezés","Intossicazione alimentare","Bromatoxismo","Intoxication alimentaire","食物中毒","食中毒","Intoxicação alimentar","食物中毒",
"STR_TERJEMED_PIS_PL1","Light poisoning","Light poisoning","Lehká otrava","Leichte Vergiftung","Легкое отравление","Łagodne zatrucie","Enyhe mérgezés","Avvelenamento lieve","Envenenamiento leve","Intoxication légère","輕度中毒","軽度の中毒","Envenenamento leve","轻度中毒",
"STR_TERJEMED_PIS_PL2","Severe poisoning","Severe poisoning","Těžká otrava","Schwere Vergiftung","Тяжелое отравление","Ciężkie zatrucie","Súlyos mérgezés","Avvelenamento grave","Intoxicación grave","Empoisonnement grave","重度中毒","重度の中毒","Envenenamento grave","严重中毒",
"STR_TERJEMED_PIS_PL3","Critical poisoning","Critical poisoning","Kritická otrava","Kritische Vergiftung","Критическое отравление","Zatrucie krytyczne","Kritikus mérgezés","Avvelenamento critico","Envenenamiento crítico","Empoisonnement critique","危及生命的中毒","重大な中毒","Envenenamento crítico","严重中毒",
"STR_TERJEMED_PIS_BIOHAZARD","Chemical poisoning","Chemical poisoning","Chemická otrava","Chemische Vergiftung","Химическое отравление","Zatrucie chemiczne","Kémiai mérgezés","Avvelenamento chimico","Envenenamiento químico","Empoisonnement chimique","化學中毒","化学中毒","Envenenamento químico","化学中毒",
"STR_TERJEMED_PIS_RABIES","Rabies","Rabies","Vztek","Tollwut","Бешенство","Wścieklizna","Veszettség","Rabbia","Rabia","Rage","狂犬病","狂犬病","Raiva","狂犬病",
"STR_TERJEPERK_MED_STETHOSCOPE","Stethoscope mastering","Stethoscope mastering","Vlastnictví stetoskopu","Besitz eines Stethoskops","Владение стетоскопом","Posiadanie stetoskopu","Sztetoszkóp birtoklása","Possesso dello stetoscopio","Poseer un estetoscopio","Possession d'un stéthoscope","聽診器精通","聴診器を所有している","Posse do estetoscópio","拥有听诊器",
"STR_TERJEPERK_MED_STETHOSCOPE_DES","You have learned how to masterfully use a stethoscope to accurately diagnose the condition, diseases and wounds of your patients.","You have learned how to masterfully use a stethoscope to accurately diagnose the condition, diseases and wounds of your patients.","Naučili jste se mistrně používat stetoskop k přesné diagnostice stavu, nemocí a ran u vašich pacientů.","Sie haben gelernt, ein Stethoskop meisterhaft zu verwenden, um den Zustand, die Krankheiten und die Wunden Ihrer Patienten genau zu diagnostizieren.","Вы научились мастерски использовать стетоскоп для точного диагностирования состояния, болезней и ран у ваших пациентов.","Nauczyłeś się po mistrzowsku używać stetoskopu do dokładnego diagnozowania stanu, chorób i ran u pacjentów.","Megtanulta, hogyan kell mesterien használni a sztetoszkópot a betegek állapotának, betegségeinek és sebeinek pontos diagnosztizálására.","Hai imparato a usare magistralmente uno stetoscopio per diagnosticare accuratamente condizioni, malattie e ferite nei tuoi pazienti.","Usted ha aprendido a utilizar magistralmente el estetoscopio para diagnosticar con precisión la condición, la enfermedad y las heridas de sus pacientes.","Vous avez appris à utiliser magistralement un stéthoscope pour diagnostiquer avec précision l'état, les maladies et les blessures de vos patients.","你已經學會了如何熟練地使用聽診器，準確診斷病人的病情、疾病和傷口。","あなたは見事に正確にあなたの患者の状態、病気や傷を診断するために聴診器を使用する方法を学びました。","Você aprendeu a usar magistralmente um estetoscópio para diagnosticar com precisão condições, doenças e feridas em seus pacientes.","你已经学会了如何熟练地使用听诊器来准确诊断病人的病情、疾病和伤口。",
"STR_TERJEMED_PIS_NOSKILL","No perk","No perk","Žádný perk","Kein Vorteil","Нет перка","Brak profitu","Nincs perk","Nessun vantaggio","Sin beneficio","Pas d'avantage","沒有技能","特典はありません","Sem vantagem","没有perk",
"STR_TERJEMED_PIS_NOSKILL_DESC","You don't seem to understand anything. The skill of using a stethoscope is required.","You don't seem to understand anything. The skill of using a stethoscope is required.","Myslím, že jste to nepochopil. Je vyžadována dovednost stetoskopu.","Es scheint, dass Sie nichts verstanden haben. Erfordert die Fähigkeit, ein Stethoskop zu besitzen.","Кажется у вас ничего не получилось понять. Требуется навык владения стетоскопом.","Wydaje się, że nic nie udało ci się zrozumieć. Wymagana jest umiejętność posługiwania się stetoskopem.","Úgy tűnik, nem értesz semmit. A sztetoszkóp használatának készsége szükséges.","Sembra che tu non abbia capito niente. È richiesta l'abilità di possedere uno stetoscopio.","Parece que no entendiste nada. Se requiere la habilidad de poseer un estetoscopio.","Il semble que vous n'ayez rien compris. Nécessite la compétence de posséder un stéthoscope.","你好像什麼都不懂。需具備使用聽診器的技能。","あなたは何も理解していないようです。 聴診器を使用するスキルが必要です。","Parece que não percebeu nada. É necessário possuir um estetoscópio.","你似乎什么都不懂。 需要使用听诊器的技能。",
"STR_TERJEPERK_MED_STETHOSCOPE_HINT_1","Displays the presence of diseases","Displays the presence of diseases","Mapuje přítomnost nemocí","Zeigt das Vorhandensein von Krankheiten an","Отображает наличие болезней","Wyświetla obecność chorób","Megjeleníti a betegségek jelenlétét","Visualizza la presenza di malattie","Muestra la presencia de enfermedades","Affiche la présence de maladies","顯示疾病的存在","病気の存在を表示します","Exibe a presença de doenças","显示疾病的存在",
"STR_TERJEPERK_MED_STETHOSCOPE_HINT_2","Displays the level of diseases","Displays the level of diseases","Mapuje míru onemocnění","Zeigt das Krankheitsniveau an","Отображает уровень болезней","Wyświetla poziom chorób","Megjeleníti a betegségek szintjét","Visualizza il livello di malattia","Muestra el nivel de enfermedad","Affiche le niveau de maladie","顯示疾病級別","病気のレベルを表示します","Exibe o nível de doença","显示疾病的水平",
"STR_TERJEPERK_MED_STETHOSCOPE_HINT_3","Displays diseases at the incubation stage","Displays diseases at the incubation stage","Mapuje nemoci v inkubační fázi","Zeigt Krankheiten im Inkubationsstadium an","Отображает болезни на инкубационной стадии","Wyświetla choroby w fazie inkubacji","Megjeleníti a betegségeket az inkubációs szakaszban","Visualizza le malattie nella fase di incubazione","Muestra enfermedades en la etapa de incubación","Affiche les maladies au stade d'incubation","顯示潛伏期的疾病","インキュベーション段階で病気を表示します","Exibe doenças na fase de incubação","在孵化阶段显示疾病",
"STR_TERJEPERK_IMMTY_BIOHZRDRESIST","Chemical poisoning resistance","Chemical poisoning resistance","Odolnost vůči chemické otravě","Resistenz gegen chemische Vergiftung","Устойчивость к химическому отравлению","Odporność na zatrucia chemiczne","Kémiai mérgezéssel szembeni ellenállás","Resistenza all'avvelenamento chimico","Resistencia al envenenamiento químico","Résistance à l'empoisonnement chimique","抗化學中毒","化学中毒に対する耐性","Resistência ao envenenamento químico","耐化学中毒",
"STR_TERJEPERK_IMMTY_BIOHZRDRESIST_DES","Your body has an increased resistance to chemical and biohazard agents. Due to the improved functioning of the immune system, toxic agents are eliminated from the body faster.","Your body has an increased resistance to chemical and biohazard agents. Due to the improved functioning of the immune system, toxic agents are eliminated from the body faster.","Vaše tělo má zvýšenou odolnost vůči chemickým toxinům a bojovým otravným látkám. Díky zlepšení fungování imunitního systému jsou toxické chemikálie z těla vylučovány rychleji.","Ihr Körper hat eine erhöhte Resistenz gegen chemische Toxine und Kampfgifte. Durch eine verbesserte Funktion des Immunsystems werden giftige Chemikalien schneller aus dem Körper ausgeschieden.","Ваш организм обладает повышенной устойчивостью к химическим токсинам и боевым отравляющим веществам. Благодаря улучшению работы иммунной системы токсичные химические вещества выводятся из организма быстрее.","Twoje ciało ma zwiększoną odporność na toksyny chemiczne i trujące substancje bojowe. Dzięki poprawie funkcjonowania układu odpornościowego toksyczne chemikalia są szybciej usuwane z organizmu.","A szervezet fokozott ellenállást mutat a kémiai toxinokkal és a kémiai hadviseléssel szemben. Az immunrendszer jobb működése miatt a mérgező vegyi anyagok gyorsabban ürülnek ki a szervezetből.","Il tuo corpo ha una maggiore resistenza alle tossine chimiche e agli agenti velenosi da combattimento. Migliorando il funzionamento del sistema immunitario, le sostanze chimiche tossiche vengono eliminate più rapidamente dal corpo.","Su cuerpo tiene una mayor resistencia a las toxinas químicas y agentes de guerra. Al mejorar el funcionamiento del sistema inmunológico, los productos químicos tóxicos se eliminan del cuerpo más rápidamente.","Votre corps a une résistance accrue aux toxines chimiques et aux agents toxiques de combat. Grâce à l'amélioration du système immunitaire, les produits chimiques toxiques sont éliminés plus rapidement du corps.","您的身體對化學和生物危害劑的抵抗力增強。由於免疫系統功能的改善，毒性物質從體內排出的速度更快。","あなたの体に化学毒素および化学戦争の代理店への高められた抵抗がある。 免疫系の機能が改善されているため、有毒な化学物質は体からより速く排除されます。","Seu corpo tem maior resistência a toxinas químicas e agentes de guerra. Graças à melhoria do sistema imunológico, os produtos químicos tóxicos são eliminados do corpo mais rapidamente.","你的身体对化学毒素和化学战剂的抵抗力增加。 由于免疫系统功能的改善，有毒化学物质更快地从体内消除。",
"STR_TERJEMED_EXPRESSTESTBLOOD_NAME","A set of express blood tests","A set of express blood tests","Sada expresních krevních testů","Blut-Schnelltest-Set","Набор экспресс тестов крови","Zestaw szybkich badań krwi","Egy sor gyors vérvizsgálat","Kit di test del sangue rapido","Conjunto de pruebas de sangre rápidas","Kit de test sanguin rapide","一套快速血液檢測","迅速な血液検査のセット","Conjunto de teste de sangue expresso","一套快速验血",
"STR_TERJEMED_EXPRESSTESTBLOOD_DESC","A set of few express tests for diagnosing various diseases at different stages. They are used for timely diagnosis of diseases at the incubation stage before symptoms appear.","A set of few express tests for diagnosing various diseases at different stages. They are used for timely diagnosis of diseases at the incubation stage before symptoms appear.","Sada několika expresních testů pro diagnostiku různých onemocnění v různých fázích. Používá se k včasné diagnostice onemocnění v inkubační fázi, dokud se neobjeví příznaky.","Eine Reihe von mehreren Schnelltests zur Diagnose verschiedener Krankheiten in verschiedenen Stadien. Werden verwendet, um Krankheiten im Inkubationsstadium rechtzeitig zu diagnostizieren, bevor Symptome auftreten.","Набор из нескольких экспресс тестов для диагностирования различных заболеваний на разных стадиях. Используются для своевременного диагностирования болезней на инкубационной стадии до появляения симптомов.","Zestaw kilku szybkich testów do diagnozowania różnych chorób na różnych etapach. Służy do terminowego diagnozowania chorób na etapie inkubacji przed pojawieniem się objawów.","Számos gyors teszt a különböző betegségek diagnosztizálására különböző szakaszokban. Ezeket a betegségek időben történő diagnosztizálására használják az inkubációs szakaszban a tünetek megjelenése előtt.","Una serie di diversi test rapidi per diagnosticare varie malattie in diverse fasi. Vengono utilizzati per diagnosticare tempestivamente le malattie nella fase di incubazione prima che compaiano i sintomi.","Un conjunto de varias pruebas rápidas para diagnosticar diferentes enfermedades en diferentes etapas. Se utilizan para el diagnóstico oportuno de enfermedades en la etapa de incubación antes de la aparición de síntomas.","Un ensemble de plusieurs tests rapides pour diagnostiquer différentes maladies à différents stades. Utilisé pour diagnostiquer rapidement les maladies au stade d'incubation avant l'apparition des symptômes.","一組用於診斷不同階段各種疾病的快速測試。它們用於在症狀出現之前的潛伏期及時診斷疾病。","さまざまな段階でさまざまな病気を診断するためのいくつかの迅速なテストのセット。 それらは、症状が現れる前のインキュベーション段階での疾患のタイムリーな診断に使用されます。","Um conjunto de vários testes rápidos para diagnosticar várias doenças em diferentes estágios. Eles são usados para o diagnóstico oportuno de doenças no estágio de incubação antes que os sintomas apareçam.","一组用于诊断不同阶段的各种疾病的几种快速测试。 它们用于在症状出现之前的孵化阶段及时诊断疾病。",
"STR_TERJEMED_EXPRESSTESTPH_NAME","Express agents test","Express agents test","Test expresních agentů","Express-Agenten-Test","Экспресс-тест на агенты","Test agentów ekspresowych","Expressz ügynökök tesztje","Express agenti di prova","Prueba de agentes exprés","Test des agents express","快速檢測劑","エクスプレスエージェントテスト","Teste dos agentes expressos","快递代理测试",
"STR_TERJEMED_EXPRESSTESTPH_DESC","Express strips are used to identify pathogenic agents on various objects and liquids.","Express strips are used to identify pathogenic agents on various objects and liquids.","Expresní proužky se používají k určení patogenů na různých předmětech a kapalinách.","Express-Streifen werden verwendet, um Krankheitserreger auf verschiedenen Gegenständen und Flüssigkeiten zu identifizieren.","Экспресс полоски используются для определения болезнетворных агентов на различных предметах и жидкостях.","Paski ekspresowe służą do identyfikacji czynników chorobotwórczych na różnych przedmiotach i płynach.","Az expressz csíkokat különböző tárgyak és folyadékok kórokozóinak azonosítására használják.","Express Le strisce vengono utilizzate per identificare agenti patogeni su una varietà di oggetti e fluidi.","Las tiras Express se utilizan para identificar agentes causantes de enfermedades en una variedad de objetos y líquidos.","Les bandes Express sont utilisées pour identifier les agents pathogènes sur divers objets et liquides.","快速試紙用於識別各種物體和液體上的致病因子。","エクスプレスストリップは、さまざまな物体や液体の病原体を識別するために使用されます。","As tiras Express são usadas para identificar agentes causadores de doenças em uma variedade de objetos e líquidos.","表达条用于识别各种物体和液体上的致病剂。",
"STR_TERJEMED_CHOLERA","Cholera","Cholera","Cholera","Cholera","Холера","Cholera","Kolera","Colera","Cólera","Choléra","霍亂","コレラ","Cólera","霍乱",
"STR_TERJEMED_INFLUENZA","Flu","Flu","Chřipka","Grippe","Грипп","Grypa","Influenza","Influenza","Gripe","Grippe","流感","インフルエンザ","Gripe","流感",
"STR_TERJEMED_SALMONELLA","Salmonella","Salmonella","Salmonela","Salmonelle","Сальмонелла","Salmonella","Szalmonella","Salmonella","Salmonella","Salmonelles","沙門氏菌","サルモネラ菌","Salmonelas","沙门氏菌",
"STR_TERJEMED_BRAIN","Kuru","Kuru","Slepice","Huehner","Куру","Kura","Kuru","Kura","Kuru","Kuru","庫魯","くる","Kuru","库鲁",
"STR_TERJEMED_FOOD_POISON","E. coli","E. coli","E. coli","Escherichia coli","Кишечная палочка","E. coli","E. coli","Colibacillo","Escherichia coli","Bacille intestinal","大腸桿菌","大腸菌(e.coli)","E. coli","大肠杆菌",
"STR_TERJEMED_CHEMICAL_POISON","Chemical agents","Chemical agents","Chemické látky","Chemische Mittel","Химические агенты","Środki chemiczne","Vegyi anyagok","Agente chimico","Agentes químicos","Agents chimiques","化學藥劑","化学薬品","Agentes químicos","化学药剂",
"STR_TERJEMED_HEAVYMETAL","Heavy metals","Heavy metals","Těžké kovy","Schwermetalle","Тяжелые металы","Metale ciężkie","Nehézfémek","Metalli pesanti","Metales pesados","Métaux lourds","重金屬","重金属","Metais pesados","重金属",
"STR_TERJEMED_EXPRESS_RESULT","Express test result","Express test result","Expresní výsledek testu","Express-Testergebnis","Результат экспресс-теста","Ekspresowy wynik testu","Expressz teszt eredménye","Express risultato del test","Resultado de la prueba Express","Résultat d'essai exprès","快速檢測結果","明白なテスト結果","Resultado expresso do ensaio","快速测试结果",
"STR_TERJEMED_EXPRESS_CLEAN","No chemical or biological agents have been detected.","No chemical or biological agents have been detected.","Chemické a biologické látky nebyly nalezeny","Keine chemischen und biologischen Wirkstoffe gefunden","Химические и биологические агенты не обнаружены.","Nie znaleziono środków chemicznych i biologicznych","Nem mutattak ki kémiai vagy biológiai anyagokat.","Agenti chimici e biologici non rilevati","Agentes químicos y biológicos no detectados","Aucun agent chimique et biologique détecté","未檢測到任何化學或生物製劑。","化学的または生物学的薬剤は検出されていない。","Agentes químicos e biológicos não foram detectados","没有检测到化学或生物制剂。",
"STR_TERJEMED_EXPRESSTESTVIRZ_NAME","Zombie virus express blood test","Zombie virus express blood test","Zombie virus express krevní test","Zombie-Virus-Express-Bluttest","Экспресс-анализ крови на вирус зомби","Ekspresowe badanie krwi wirusa Zombie","Zombi vírus expressz vérvizsgálat","Zombie virus express esame del sangue","Prueba de sangre Zombie virus express","Test sanguin express du virus zombie","殭屍病毒快速血液檢測","ゾンビウイルスエクスプレス血液検査","Teste de sangue expresso do vírus Zombie","僵尸病毒表达血液测试",
